Topic,comp_role,Year,weight,word_category
9,fi_249+depositor,2004,0.077,3
9,fi_249+depositor,2005,0.08,3
9,fi_73+depositor,2006,0.0808,3
9,fi_73+depositor,2007,0.083,3
9,fi_73+depositor,2008,0.0831,3
10,fi_107+depositor,2002,0.1176,3
10,fi_107+depositor,2003,0.1194,3
10,fi_107+depositor,2004,0.1234,3
10,fi_129+depositor,2005,0.1182,3
10,fi_129+depositor,2006,0.1072,3
10,fi_129+depositor,2007,0.1028,3
10,fi_159+servicer,2008,0.1029,3
11,fi_171+seller,2002,0.204,3
11,fi_171+seller,2003,0.2047,3
11,fi_171+seller,2004,0.1987,3
11,fi_171+seller,2005,0.1882,3
11,fi_171+sponsor,2006,0.1775,3
11,fi_171+sponsor,2007,0.1786,3
11,fi_171+sponsor,2008,0.1792,3
12,fi_177+issuer,2002,0.132,3
12,fi_177+issuer,2003,0.1309,3
12,fi_177+issuer,2004,0.1282,3
12,fi_177+seller,2005,0.1339,3
12,fi_177+seller,2006,0.1364,3
12,fi_177+sponsor,2007,0.1343,3
12,fi_177+sponsor,2008,0.1341,3
13,fi_91+trustee,2002,0.2669,3
13,fi_91+trustee,2003,0.2515,3
13,fi_91+trustee,2004,0.226,3
13,fi_91+trustee,2005,0.2079,3
13,fi_91+trustee,2006,0.1958,3
13,fi_91+trustee,2007,0.1963,3
13,fi_91+trustee,2008,0.1973,3
14,fi_71+servicer,2002,0.2647,3
14,fi_71+servicer,2003,0.256,3
14,fi_71+servicer,2004,0.2368,3
14,fi_71+servicer,2005,0.2141,3
14,fi_71+servicer,2006,0.1958,3
14,fi_71+servicer,2007,0.1888,3
14,fi_71+servicer,2008,0.1879,3
15,fi_193+issuer,2002,0.105,3
15,fi_193+issuer,2003,0.1107,3
15,fi_193+issuer,2004,0.1229,3
15,fi_193+issuer,2005,0.1316,3
15,fi_193+issuer,2006,0.1378,3
15,fi_193+issuer,2007,0.1406,3
15,fi_193+issuer,2008,0.1406,3
16,fi_22+depositor,2002,0.1442,3
16,fi_51+depositor,2003,0.1401,3
16,fi_51+depositor,2004,0.1332,3
16,fi_51+depositor,2005,0.1288,3
16,fi_51+depositor,2006,0.1281,3
16,fi_51+depositor,2007,0.1274,3
16,fi_51+depositor,2008,0.1275,3
17,fi_51+depositor,2002,0.2297,3
17,fi_51+depositor,2003,0.2282,3
17,fi_51+depositor,2004,0.2214,3
17,fi_51+depositor,2005,0.2131,3
17,fi_51+depositor,2006,0.2119,3
17,fi_51+depositor,2007,0.2294,3
17,fi_51+depositor,2008,0.2362,3
18,fi_8+depositor,2002,0.1668,3
18,fi_8+depositor,2003,0.1669,3
18,fi_8+depositor,2004,0.1652,3
18,fi_8+depositor,2005,0.1637,3
18,fi_8+depositor,2006,0.1572,3
18,fi_8+depositor,2007,0.1566,3
18,fi_8+depositor,2008,0.1573,3
19,fi_87+servicer,2002,0.1611,3
19,fi_87+servicer,2003,0.1551,3
19,fi_87+servicer,2004,0.144,3
19,fi_87+servicer,2005,0.139,3
19,fi_41+depositor,2006,0.1326,3
19,fi_87+sponsor,2007,0.1354,3
19,fi_87+sponsor,2008,0.136,3
20,fi_33+depositor,2002,0.264,3
20,fi_33+depositor,2003,0.248,3
20,fi_34+seller,2004,0.2289,3
20,fi_34+seller,2005,0.2249,3
20,fi_33+issuer,2006,0.2368,3
20,fi_33+issuer,2007,0.2393,3
20,fi_33+issuer,2008,0.2413,3
21,fi_74+depositor,2002,0.1377,3
21,fi_74+depositor,2003,0.1329,3
21,fi_74+depositor,2004,0.1223,3
21,fi_74+issuer,2005,0.1201,3
21,fi_74+issuer,2006,0.1219,3
21,fi_74+issuer,2007,0.1221,3
21,fi_306+trustee,2008,0.1221,3
22,fi_109+originator,2002,0.1877,3
22,fi_109+originator,2003,0.1864,3
22,fi_109+originator,2004,0.1811,3
22,fi_109+originator,2005,0.1742,3
22,fi_306+trustee,2006,0.1687,3
22,fi_109+originator,2007,0.1653,3
22,fi_109+originator,2008,0.1653,3
23,fi_129+depositor,2002,0.109,3
23,fi_129+depositor,2003,0.1105,3
23,fi_129+depositor,2004,0.111,3
23,fi_129+depositor,2005,0.1074,3
23,fi_129+depositor,2006,0.1239,3
23,fi_129+depositor,2007,0.1316,3
23,fi_129+depositor,2008,0.1317,3
24,fi_270+servicer,2002,0.192,3
24,fi_270+servicer,2003,0.1877,3
24,fi_270+servicer,2004,0.1765,3
24,fi_230+issuer,2005,0.1648,3
24,fi_230+issuer,2006,0.1566,3
24,fi_230+issuer,2007,0.1624,3
24,fi_230+issuer,2008,0.1557,3
25,fi_6+sponsor,2002,0.1206,3
25,fi_6+sponsor,2003,0.1246,3
25,fi_6+sponsor,2004,0.125,3
25,fi_6+sponsor,2005,0.1314,3
25,fi_6+sponsor,2006,0.1368,3
25,fi_6+sponsor,2007,0.1399,3
25,fi_6+sponsor,2008,0.1399,3
26,fi_306+issuer,2002,0.2865,3
26,fi_306+issuer,2003,0.268,3
26,fi_306+issuer,2004,0.2532,3
26,fi_306+issuer,2005,0.2468,3
26,fi_306+issuer,2006,0.2491,3
26,fi_306+issuer,2007,0.2533,3
26,fi_306+issuer,2008,0.2552,3
27,fi_262+depositor,2002,0.2791,3
27,fi_262+depositor,2003,0.2769,3
27,fi_262+depositor,2004,0.2767,3
27,fi_262+depositor,2005,0.2834,3
27,fi_262+depositor,2006,0.2803,3
27,fi_262+depositor,2007,0.2759,3
27,fi_262+depositor,2008,0.2753,3
28,fi_153+servicer,2002,0.1528,3
28,fi_181+servicer,2003,0.1537,3
28,fi_306+securities-administrator,2004,0.1539,3
28,fi_306+securities-administrator,2005,0.1534,3
28,fi_153+servicer,2006,0.1484,3
28,fi_263+servicer,2007,0.146,3
28,fi_263+servicer,2008,0.145,3
29,fi_62+issuer,2002,0.0942,3
29,fi_62+issuer,2003,0.0947,3
29,fi_62+issuer,2004,0.0949,3
29,fi_62+issuer,2005,0.0958,3
29,fi_62+issuer,2006,0.0926,3
29,fi_62+issuer,2007,0.0936,3
29,fi_62+issuer,2008,0.0936,3
30,fi_125+servicer,2002,0.1364,3
30,fi_125+servicer,2003,0.1408,3
30,fi_72+issuer,2004,0.1427,3
30,fi_72+issuer,2005,0.1409,3
30,fi_72+issuer,2006,0.1425,3
30,fi_72+issuer,2007,0.1462,3
30,fi_72+issuer,2008,0.1462,3
1,fi_306+securities-administrator,2002,0.1897,4
1,fi_306+securities-administrator,2003,0.1918,4
1,fi_306+securities-administrator,2004,0.1951,4
1,fi_306+issuer,2005,0.1985,4
1,fi_306+issuer,2006,0.2016,4
1,fi_306+issuer,2007,0.2029,4
1,fi_306+issuer,2008,0.2037,4
2,fi_80+trustee,2002,0.2245,4
2,fi_80+trustee,2003,0.2216,4
2,fi_80+trustee,2004,0.2153,4
2,fi_80+trustee,2005,0.2047,4
2,fi_147+sponsor,2006,0.1924,4
2,fi_147+sponsor,2007,0.1872,4
2,fi_147+sponsor,2008,0.1877,4
3,fi_306+securities-administrator,2002,0.1163,4
3,fi_306+securities-administrator,2003,0.1161,4
3,fi_306+securities-administrator,2004,0.1158,4
3,fi_306+securities-administrator,2005,0.1152,4
3,fi_306+securities-administrator,2006,0.1141,4
